document,provider,model,prompt,question,answer,usefulness_1_5,clarity_1_5,correctness_1_5
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,simple,Which lenses support autofocus with this camera?,"This camera supports autofocus with AF-S, AF-P, and AF-I CPU lenses only.  Look for lens names beginning with AF-S, AF-P or AF-I.",,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,simple,How do I select a color to retain using Selective Color?,"Frame an object in the white square in the center of the display and press 1 to choose its color. The camera may have difficulty detecting unsaturated colors, so choose a saturated color.",,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,simple,What are the risks of using the camera flash too close to someone?,"Using the flash in close contact with the skin could cause burns, and using it close to the subject’s eyes could cause temporary visual impairment. Keep the flash at least one meter (3 ft 4 in.) from the subject, especially when photographing infants.",,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,simple,Why does the image in the monitor sometimes appear distorted or show bright spots when using live view?,Distortion can occur when panning or when objects move quickly. Bright light sources can also leave after-images or create bright spots in the monitor's display.,,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,simple,Where should I avoid using or storing the camera?,"Avoid using or storing the camera near equipment that generates strong electromagnetic radiation or magnetic fields, as this can interfere with the monitor, damage data, or affect the internal circuitry.",,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,structured,What is the recommended temperature range for charging the battery?,The battery should be charged indoors at ambient temperatures between 5 °C and 35 °C (41 °F and 95 °F). Charging outside of this range can affect performance or damage the battery.,,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,structured,What file formats are supported for photos?,"The camera supports NEF (RAW) for uncompressed images, JPEG with varying compression levels (fine, normal, basic), and the option to save photos in both NEF (RAW) and JPEG simultaneously.",,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,structured,What is the purpose of the Body Cap BF-1B/BF-1A?,"The body cap keeps the mirror, viewfinder screen, and image sensor free of dust when a lens is not in place, protecting the camera's internal components.",,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,structured,What items are included in the D3300 camera package?,"The package includes the DK-25 rubber eyecup, BF-1B body cap, D3300 camera, EN-EL14a rechargeable Li-ion battery, MH-24 battery charger, AN-DC3 strap, UC-E17 USB cable, EG-CP14 audio/video cable, ViewNX 2 CD-ROM, User’s Manual, and warranty. A plug adapter for the battery charger is also supplied in countries or regions where required.",,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,structured,What scene modes are available on the camera?,"The available scene modes include Portrait, Landscape, Child, Sports, Close up, and Night Portrait. Each mode is designed for specific shooting conditions.",,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,user_centered,How long can I record a single movie?,Individual movies can be up to 20 minutes in length or 4 GB in size. Recording may end sooner if the camera temperature rises.,,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,user_centered,What file formats can I use to save photos?,"You can save photos in NEF (RAW), JPEG, or both NEF (RAW) and JPEG formats simultaneously.",,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,user_centered,What type of cables should I use with the camera?,Use only the cables provided or sold by Nikon for the purpose when connecting cables to the input and output jacks to maintain compliance with product regulations.,,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,user_centered,How should I store the battery when not in use?,"Attach the terminal cover and store it in a cool, dry place.",,,
Nikon_user_guide.pdf,gemini,gemini-2.0-flash,user_centered,How do I prevent the camera display from turning off too quickly?,You can adjust the standby timer duration in the setup menu using the 'Auto off timers' option.,,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,simple,What are some special effects available for photography?,"The document lists several special effects including Night Vision, Super Vivid, Pop, Photo Illustration, Color Sketch, Toy Camera Effect, Miniature Effect, Selective Color, Silhouette, High Key, Low Key, and HDR Painting.",,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,simple,What does the Automatic Scene Selection feature do?,The Automatic Scene Selection analyzes the subject and selects the appropriate shooting mode automatically when autofocus is enabled.,,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,simple,Which scene mode should I use for portraits?,"Use the Portrait mode for soft, natural-looking skin tones and to create depth by softening background details.",,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,simple,How can I change the aperture while in manual mode?,"To adjust the aperture in manual mode, press and hold the E (N) button while rotating the command dial; turn left for larger apertures (lower f-numbers) and right for smaller apertures (higher f-numbers).",,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,simple,How can I get technical support for my Nikon product?,You can contact a Nikon representative for technical assistance by visiting http://www.nikon-asia.com/support.,,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,structured,What is the minimum focus distance for the AF-P DX NIKKOR 18–55mm lens?,The minimum focus distance for the AF-P DX NIKKOR 18–55mm lens is 0.25 meters (0.9 feet) from the focal plane at all zoom positions.,,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,structured,What precautions should I take when handling memory cards?,"Always turn off the camera before inserting or removing memory cards, avoid touching the card terminals, and do not expose the cards to water, heat, or strong physical shocks.",,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,structured,What special effects are available in the camera settings?,"The camera offers various special effects including Night Vision, Super Vivid, Pop, Photo Illustration, Color Sketch, Toy Camera Effect, Miniature Effect, Selective Color, Silhouette, High Key, Low Key, and HDR Painting.",,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,structured,What types of lenses are compatible with the camera's autofocus system?,"The camera's autofocus system is compatible with AF-S, AF-P, and AF-I lenses, but not with type G and D lenses, or certain older lens types.",,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,structured,Why is it important to keep the sun out of the frame when shooting?,"Keeping the sun out of the frame prevents sunlight from being focused into the camera, which could potentially cause a fire.",,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,user_centered,What are the different shooting modes available?,"The camera offers several shooting modes including Programmed Auto (P), Shutter-Priority Auto (S), Aperture-Priority Auto (A), and Manual (M) modes.",,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,user_centered,What should I do after taking a picture?,"After taking a picture, wait until the memory card access lamp goes out before ejecting the memory card or disconnecting the power source.",,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,user_centered,How can I prevent blur in my photos?,"To prevent blur caused by camera shake, use a tripod, especially at slow shutter speeds.",,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,user_centered,What is exposure compensation and how do I use it?,"Exposure compensation allows you to adjust the exposure from the camera's suggested value. To set it, press the E (N) button and rotate the command dial until the desired value is displayed.",,,
Nikon_user_guide.pdf,openai,gpt-4o-mini,user_centered,What should I do if I need technical assistance with my Nikon product?,Contact a Nikon representative for support. You can find the contact information for representatives in your area at http://www.nikon-asia.com/support.,,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,simple,What is the name of the real estate company?,"The company is named Roman Realtors & Financial Svcs, Inc., also referred to as the “Company” or “Broker”.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,simple,Am I considered an employee of the company?,"No, you are considered an Independent Contractor. You are responsible for your own taxes and Social Security contributions.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,simple,What is the company's policy on unsolicited commercial advertisements?,The company prohibits sending unsolicited commercial advertisements or solicitations unless there is prior permission or an established business relationship with the recipient.,,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,simple,What should I do when showing a property?,"Always announce yourself clearly, verify the property is empty before letting clients in, and accompany your clients at all times. Leave a business card and ensure the property is secured upon leaving.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,simple,Are fees and commissions paid directly to me?,"No, all fees and commissions must be made payable to the Broker, and you will be paid your share based on your Independent Contractor Agreement.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,structured,Can my association with the Company be terminated?,"Yes, your association with the Company can be terminated by either you or the Company at any time, with or without cause.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,structured,How are commission disputes resolved?,"The company can negotiate a resolution, possibly reducing commissions or issuing credits. Associates and the company will share any commission reduction or credit on a pro rata basis, regardless of actual liability.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,structured,What is the legal name of the real estate company?,"The company is licensed as Roman Realtors & Financial Svcs, Inc., and may also be referred to as ""the Company"" or ""Broker"".",,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,structured,What activities are unlicensed personal assistants restricted from performing?,"Unlicensed personal assistants or employees cannot engage in any activity that requires a real estate license. Additionally, the company is never obligated to pay your personal assistant.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,structured,Am I considered an employee or an independent contractor?,You are associated with the Company as an Independent Contractor. You will receive an IRS Form 1099-MISC and the Company will not withhold taxes or Social Security from your compensation.,,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,user_centered,What should I do if someone makes a claim against me or the Company?,"You must immediately inform the Broker about any claim or potential claim, including any lawsuits or threats of legal action.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,user_centered,What happens if there's a commission dispute?,"The company can negotiate a resolution, potentially reducing commissions. If this happens, the reduction will be shared proportionally between the associate licensees and the company.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,user_centered,What is the name of the brokerage?,"The brokerage is called Roman Realtors & Financial Svcs, Inc.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,user_centered,What do I need to do if I'm buying or selling my own property?,"You must notify the Broker in advance, get Broker approval for all marketing and contract documents, and you cannot represent buyers interested in your property.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,gemini,gemini-2.0-flash,user_centered,Will the company withhold taxes from my compensation?,"No, as an independent contractor, the company will not withhold taxes or Social Security. You will receive an IRS Form 1099-MISC at the end of the year.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,Can my association with the Company be terminated at any time?,"Yes, either you or the Company can terminate your association at any time, with or without cause.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What should I do if I have a dispute with another associate?,"You should promptly report the dispute to the Broker, who will attempt to resolve it through informal mediation.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,What is the purpose of the Office Policy Manual?,"The Office Policy Manual outlines the policies and procedures for Roman Realtors & Financial Services, Inc. to ensure consistent operations and compliance.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,Do I need a contract for my personal assistant or employee?,"Yes, you must have a written agreement that outlines the relationship and responsibilities, which must be approved by the Broker.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,simple,Does this manual apply to all employees of the Company?,"No, this Manual applies only to salespersons and does not apply to Company staff employees.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,structured,What is the purpose of the Office Policy Manual?,"The Office Policy Manual serves to outline the policies and procedures of Roman Realtors & Financial Services, Inc., ensuring that all employees and independent contractors understand the company's operations and expectations.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,structured,What is the relationship between salespersons and the Company?,Salespersons are classified as Independent Contractors and are not treated as employees for tax purposes. They will receive a Form 1099-MISC at the end of the year.,,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,structured,What is the deadline for submitting required documents to the Broker?,You must submit all required documents to the Broker or its designee within forty-eight (48) hours after receipt.,,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,structured,What is the Company's policy regarding unsolicited commercial advertisements?,"The Company prohibits sending unsolicited commercial advertisements or solicitations, except when prior permission has been obtained or there is an established business relationship.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,structured,"What are trust funds in real estate, and how should they be handled?","Trust funds are money or valuables received on behalf of others, such as earnest money deposits. They must be deposited into a neutral escrow depository or a trust account within three business days to avoid legal issues.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,user_centered,Can I terminate my association with the Company at any time?,"Yes, you can terminate your association with the Company at any time, with or without cause.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,user_centered,What steps must I take if I want to sell or purchase Agent-Owned Property?,"You must notify the Broker in advance, obtain their approval for all marketing materials and documents, and not represent buyers in the sale of your property.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,user_centered,"What are the office hours for Roman Realtors & Financial Services, Inc.?","The office hours are typically from 9 AM to 5 PM, Monday through Friday.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,user_centered,Do I need to provide Workers' Compensation insurance for my assistants?,"Yes, as an agent, you are responsible for providing Workers' Compensation insurance for any assistants or employees you hire, as the Company does not provide this coverage.",,,
Roman_Realtors_Financial_Services_company_policy.pdf,openai,gpt-4o-mini,user_centered,Does this manual apply to all employees of the Company?,"No, this manual applies only to salespersons, also referred to as associate-licensees, and does not apply to Company staff employees.",,,
syllabus.pdf,gemini,gemini-2.0-flash,simple,What is this course about?,"This course covers linear programming models for resource allocation, including simplex methods, duality, sensitivity analysis, transportation problems, and extensions to large-scale and multi-objective models.",,,
syllabus.pdf,gemini,gemini-2.0-flash,simple,What resources are available for relationship and sexual violence prevention?,"Relationship and Sexual Violence Prevention Services (RSVP) offers free and confidential therapy, workshops, and training at (213) 740-9355(WELL).  They address situations related to gender- and power-based harm.",,,
syllabus.pdf,gemini,gemini-2.0-flash,simple,Where can I find support for my mental health?,"USC offers free and confidential mental health treatment through Counseling and Mental Health at (213) 740-9355. They provide services like psychotherapy, group counseling, and crisis intervention.",,,
syllabus.pdf,gemini,gemini-2.0-flash,simple,What are the prerequisites for this course?,"There are no formal prerequisites for this course, although prior knowledge of basic Python programming can be helpful.",,,
syllabus.pdf,gemini,gemini-2.0-flash,simple,What is the format of the midterm and final exams?,"The midterm and final exams are open book, open notes, take-home exams that are uploaded on Brightspace. Students have one attempt to complete the exam within a 24-hour window.",,,
syllabus.pdf,gemini,gemini-2.0-flash,structured,"Who is the instructor for ISE-536 Linear Programming and Extensions, and how can I contact them?","The instructor is Niloufar Izadinia, and you can reach her via email at izadinia@usc.edu or visit her website at https://viterbi.usc.edu/directory/faculty/Izadinia/Niloufar.",,,
syllabus.pdf,gemini,gemini-2.0-flash,structured,"How do I report incidents of bias, harassment, or discrimination at USC?","You can report incidents of bias, hate crimes, and microaggressions to the Office for Equity, Equal Opportunity, and Title IX (EEO-TIX) at (213) 740-5086. You can also report incidents by calling (213) 821-8298.",,,
syllabus.pdf,gemini,gemini-2.0-flash,structured,How can I obtain accommodations for disabilities at USC?,Contact the Office of Student Accessibility Services (OSAS) as early as possible in the semester since accommodations are not retroactive. You can reach them at (213) 740-0776 or osasfrontdesk@usc.edu. More information is available at osas.usc.edu.,,,
syllabus.pdf,gemini,gemini-2.0-flash,structured,What are the prerequisites for the ISE-536 Linear Programming and Extensions course?,"There are no prerequisites for this course, making it accessible to students with minimal background in the field.",,,
syllabus.pdf,gemini,gemini-2.0-flash,structured,What is the format and timing for the midterm and final exams?,"Both exams are open book, open notes, and take-home, with calculators permitted but laptops/desktops required. Students have until midnight of the following day to complete and upload the exam to Brightspace, with only one attempt allowed.",,,
syllabus.pdf,gemini,gemini-2.0-flash,user_centered,Where and when are the instructor's office hours?,"Office hours are Wednesdays 4:00 PM - 4:45 PM and Thursdays 2:00 PM – 2:45 PM, both in GER 202.",,,
syllabus.pdf,gemini,gemini-2.0-flash,user_centered,How will my grade be affected by absences or lateness?,Frequent absences will result in a reduction in your grade. Punctuality is expected for all classes.,,,
syllabus.pdf,gemini,gemini-2.0-flash,user_centered,What happens if I'm caught cheating or plagiarizing?,All instances of academic dishonesty will be reported and could result in penalties ranging from failing the assignment to expulsion from the university.,,,
syllabus.pdf,gemini,gemini-2.0-flash,user_centered,Where can I find course materials like lecture notes and homework assignments?,"All course materials, including lecture notes, homework assignments, solutions, and exams, will be posted on the Brightspace course website.",,,
syllabus.pdf,gemini,gemini-2.0-flash,user_centered,How do I get a quick response to my emails?,"Always copy the TA in emails to the instructor and include ""ISE 536"" at the beginning of the email title.",,,
syllabus.pdf,openai,gpt-4o-mini,simple,How is the grading structured for this course?,"The grading is divided as follows: Homework 25%, Class Exercises and Participation 25%, Midterm 20%, and Final Exam 30%.",,,
syllabus.pdf,openai,gpt-4o-mini,simple,What are the consequences of academic misconduct?,"Consequences can include failure on the assignment, failure in the course, suspension, or even expulsion from the university.",,,
syllabus.pdf,openai,gpt-4o-mini,simple,What tools are required for in-class exercises?,"Students need to have laptops, desktops, or iPads to complete and submit in-class exercises, which are done in pre-assigned teams.",,,
syllabus.pdf,openai,gpt-4o-mini,simple,What are the rules regarding homework submissions?,"Homework is due at midnight on Friday of the following week, late submissions are not accepted, and the two lowest scores will be dropped. Students may collaborate but must submit individual work.",,,
syllabus.pdf,openai,gpt-4o-mini,simple,How is the grading structured in this course?,"Grading is divided as follows: Homework 25%, Class Exercises and Participation 25%, Midterm 20%, and Final Exam 30%.",,,
syllabus.pdf,openai,gpt-4o-mini,structured,How is the grading policy structured for this course?,"The grading policy consists of Homework (25%), Class Exercises and Participation (25%), Midterm (20%), and Final Exam (30%). Late homework submissions are not accepted, but the two lowest homework scores will be dropped.",,,
syllabus.pdf,openai,gpt-4o-mini,structured,What are the potential consequences of academic misconduct?,"Consequences of academic misconduct can include failure on the assignment, failure in the course, suspension, or even expulsion from the university. All incidents will be reported to the Office of Academic Integrity.",,,
syllabus.pdf,openai,gpt-4o-mini,structured,How are the midterm and final exams structured?,"The midterm and final exams are open book and open notes, take-home assessments that must be uploaded on Brightspace. Students have until midnight the day after the exam to complete it, with only one attempt allowed.",,,
syllabus.pdf,openai,gpt-4o-mini,structured,What are the guidelines for submitting homework assignments?,"Homework assignments are due at midnight on Friday of the following week and must be submitted through the assignment manager on Brightspace. Students should work individually on their assignments but may collaborate with others, ensuring that each submission is unique and properly attributed.",,,
syllabus.pdf,openai,gpt-4o-mini,structured,How is the grading structured for the course?,"The grading is divided as follows: Homework 25%, Class Exercises and Participation 25%, Midterm 20%, and Final Exam 30%.",,,
syllabus.pdf,openai,gpt-4o-mini,user_centered,When are homework assignments due?,"Homework assignments are due at midnight on Friday of the week following their assignment, and must be submitted through the assignment manager on Brightspace.",,,
syllabus.pdf,openai,gpt-4o-mini,user_centered,How can I obtain accommodations for a disability?,"To obtain accommodations, you must register with the Office of Student Accessibility Services (OSAS), complete an initial appointment, and submit the necessary documentation. Once approved, you will receive a Letter of Accommodation to share with your instructors.",,,
syllabus.pdf,openai,gpt-4o-mini,user_centered,What happens if I miss a class?,"Frequent absences will result in a reduction in grade, so it's important to attend all classes for their full duration.",,,
syllabus.pdf,openai,gpt-4o-mini,user_centered,Are late homework submissions accepted?,"No, late homework submissions are not accepted under any circumstances, but the two lowest homework scores will be dropped.",,,
syllabus.pdf,openai,gpt-4o-mini,user_centered,What is the grading breakdown for the course?,"The grading policy is as follows: Homework 25%, Class Exercises and Participation 25%, Midterm 20%, and Final Exam 30%.",,,
